cntry,hhsize_iso,meet_iso,relig_iso,volunt_iso,discuss_iso,unemp_iso
AT,1.0013324237453196,1.0210871672730542,1.0141867957222848,1.0219505571736154,1.0278683074444168,1.0032643851725895
BE,1.0316068002052474,1.0545860644402205,1.0273985178733687,1.0180147002865805,1.0628414822077654,1.0094350600187905
BG,1.0434129231387734,1.1117228593549777,1.0020095723466,1.0083005490303685,1.1385356746180495,1.0038384132185978
CH,1.0236166974930487,1.010394149165859,1.008764518284042,1.0330653778580132,1.0234734363954798,1.0026389779889506
CY,1.0511955518253213,1.0632505647309183,1.0036626400986066,1.0294112146863343,1.0716493305095116,1.0107033145223883
DE,1.0112073586323866,1.066361626641414,1.035671847360054,1.0407386166673291,1.0661818892020065,1.006666519661068
EE,1.0155159209481706,1.0471669121400835,1.0148379059807118,1.0271895585514197,1.069402794785297,1.0041372026243782
ES,1.0089750842737746,1.0219972799544943,1.0081935928959553,1.0192792826431452,1.0330645830494483,1.0029023248832214
FI,1.0096292066872121,1.0087565803978902,1.026418138671929,1.030943778860734,1.0131714579680076,1.0058699352891969
FR,1.0086183496148315,1.0228329023115292,1.0155020267915458,1.0230082382460033,1.0320022505052748,1.007342110389702
GB,1.0044736574653117,1.0504235688833692,1.0066388481513608,1.0276584273951892,1.051956811911769,1.0041496517193709
GR,1.0237209665117306,1.0448847273986666,1.0162423123396784,1.0104342084226114,1.008475144900625,1.0043309359655532
HR,1.0221727800862668,1.0337748579840698,1.0072822308525187,1.0188943415702845,1.0519657287929125,1.0020962553407646
HU,1.033753698853456,1.1378396434915083,1.016574976213985,1.009948690974986,1.125469043313511,1.0013791038239268
IE,1.0292979346936955,1.051249066003769,1.017548066459034,1.0182446719784544,1.0675202211039185,1.0069743317239634
IL,1.0081292601923015,1.031301522164196,1.0657515350351165,1.060744013546802,1.0585033349352624,1.0110994944697285
IS,1.0154143306417505,1.0342873357691933,1.0578542650187104,1.0723944690738503,1.0268997472357668,1.0050893132886312
IT,1.0153511457713418,1.080973361506527,1.013172630817326,1.0208871154474648,1.0874938300428316,1.0065935573814537
LT,1.006498481778441,1.056213305509489,1.0061221367249855,1.018868679544342,1.0488182423040782,1.0104482949377713
LV,1.0105151517990114,1.0893184162070162,1.0156261872632064,1.039319272844246,1.1144952690811953,1.0097060874615356
ME,1.0116079442753836,1.0194489282282106,1.019485980899467,1.0163036545576483,1.0044952929906905,1.0116017955810293
NL,1.015141383559028,1.0342544953556105,1.0352525093354994,1.0464565090616254,1.0428258423602637,1.0009234609269506
NO,1.0030537434894238,1.017549933070145,1.0176850114902647,1.0197204846314694,1.0145399138253346,1.0065877857537213
PL,1.0067410279037965,1.032814591812061,1.0098665704620258,1.0097945961994124,1.033588325589793,1.0017837523329713
PT,1.0062694779903978,1.0451717521567134,1.0054859669484695,1.0088171568947304,1.0554880314113542,1.0038406800783624
RS,1.0220730386184746,1.0494238277468886,1.0237710740408832,1.0137131003999937,1.0495171092013897,1.0108993274095428
SE,1.0095259603662692,1.046728930927467,1.0409730153617662,1.0545848678318104,1.0440897869173198,1.0077632465233723
SI,1.009912372134968,1.0359169212139399,1.0072932859743047,1.0220300342860635,1.0393940826929164,1.0060213021568822
SK,1.012232971034977,1.0461790942093683,1.0071863206009202,1.0072336562236288,1.0575319688856413,1.007233598379557
UA,1.0115953699265492,1.0644624435657328,1.0028724046956123,1.0179307695767237,1.063200471354186,1.0018784634586386
